Unnamed: 0,Empresa,Retorno anual,Nombre,Sector,Industria
324,NCLH,0.1001620741920343,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
325,NDAQ,0.2172111188812999,"Nasdaq, Inc.",Financials,Financial Exchanges & Data
326,NDSN,0.216193445186984,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
327,NEE,0.1674188512426238,NextEra Energy,Utilities,Multi-Utilities
328,NEM,0.1491140998481537,Newmont,Materials,Gold
329,NFLX,0.5425660252916673,Netflix,Communication Services,Movies & Entertainment
330,NI,0.1117481366963102,NiSource,Utilities,Multi-Utilities
331,NKE,0.2098975632599762,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
332,NOC,0.1781979372373006,Northrop Grumman,Industrials,Aerospace & Defense
333,NOW,0.4261397333214052,ServiceNow,Information Technology,Systems Software
334,NRG,0.155719060354182,NRG Energy,Utilities,Independent Power Producers & Energy Traders
335,NSC,0.1641261608708768,Norfolk Southern Railway,Industrials,Rail Transportation
336,NTAP,0.2715505023971349,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
337,NTRS,0.1125104806998065,Northern Trust,Financials,Asset Management & Custody Banks
338,NUE,0.2373608105638851,Nucor,Materials,Steel
339,NVDA,0.5754840178250813,Nvidia,Information Technology,Semiconductors
340,NVR,0.2961810599976546,"NVR, Inc.",Consumer Discretionary,Homebuilding
341,NWL,0.0466326868975459,Newell Brands,Consumer Discretionary,Housewares & Specialties
342,NWS,0.0629907508714768,News Corp (Class B),Communication Services,Publishing
343,NWSA,0.061076752044493,News Corp (Class A),Communication Services,Publishing
344,NXPI,0.3491700871980576,NXP Semiconductors,Information Technology,Semiconductors
345,O,0.1839137380326327,Realty Income,Real Estate,Retail REITs
346,ODFL,0.396537477426879,Old Dominion,Industrials,Cargo Ground Transportation
347,OGN,-0.1161675169119363,Organon & Co.,Health Care,Pharmaceuticals
348,OKE,0.2139644581940729,ONEOK,Energy,Oil & Gas Storage & Transportation
349,OMC,0.1173276812251922,Omnicom Group,Communication Services,Advertising
350,ON,0.2704301155350754,ON Semiconductor,Information Technology,Semiconductors
351,ORCL,0.2100522372676929,Oracle Corporation,Information Technology,Application Software
352,ORLY,0.261134299750237,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores
353,OTIS,0.2796826909579444,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
354,OXY,0.2171231970466396,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
355,PARA,0.1109782601957627,Paramount Global,Communication Services,Movies & Entertainment
